cols,importance,model_name,model_target
store_相模原店,0.0002983231013720065,RandomForest,y_weekday
store_泉店,0.00028461931061259094,RandomForest,y_weekday
store_駒沢店,0.00028211667280606635,RandomForest,y_weekday
store_大田店,0.0002774390537086751,RandomForest,y_weekday
store_市原店,0.00027525583763656863,RandomForest,y_weekday
store_浅草店,0.0002732710528862963,RandomForest,y_weekday
store_さいたま南店,0.00027318622375416816,RandomForest,y_weekday
store_青葉店,0.00026749928914698146,RandomForest,y_weekday
store_南足柄店,0.00025913074792992735,RandomForest,y_weekday
store_志木店,0.00025805283505397534,RandomForest,y_weekday
store_日立店,0.0002515940934711779,RandomForest,y_weekday
store_平塚店,0.00024753039388260783,RandomForest,y_weekday
store_巣鴨店,0.0002241840923088652,RandomForest,y_weekday
store_流山店,0.00022222351384563425,RandomForest,y_weekday
store_三鷹店,0.0002222134114591171,RandomForest,y_weekday
store_八王子店,0.00022183240924042143,RandomForest,y_weekday
store_綾瀬店,0.00021361330556066897,RandomForest,y_weekday
store_宮前店,0.0002128726408749444,RandomForest,y_weekday
store_川崎店,0.00021064046688557678,RandomForest,y_weekday
store_取手店,0.00021043874734534413,RandomForest,y_weekday
store_桐生店,0.00020118928043072882,RandomForest,y_weekday
store_館林店,0.00019829966374675142,RandomForest,y_weekday
store_池尻店,0.0001772662534764296,RandomForest,y_weekday
store_若葉店,0.00016133664592556012,RandomForest,y_weekday
order_weekend,0.49351341767560786,GradientBoosting,y_weekday
order_weekday,0.380330486421018,GradientBoosting,y_weekday
order,0.023600962033363863,GradientBoosting,y_weekday
delta_avg,0.01214181392330339,GradientBoosting,y_weekday
order_time_21,0.009166295365561041,GradientBoosting,y_weekday
order_fin,0.008009664034720608,GradientBoosting,y_weekday
order_time_12,0.007294345212319344,GradientBoosting,y_weekday
order_time_15,0.007286605673221666,GradientBoosting,y_weekday
order_time_20,0.007238704273642909,GradientBoosting,y_weekday
order_time_19,0.0064039289683403035,GradientBoosting,y_weekday
order_time_11,0.006127350430898394,GradientBoosting,y_weekday
order_takeout,0.0060386532094782955,GradientBoosting,y_weekday
order_delivery,0.0055152319316754145,GradientBoosting,y_weekday
order_time_16,0.004959680280814254,GradientBoosting,y_weekday
order_time_13,0.0037298691362332844,GradientBoosting,y_weekday
order_time_17,0.00296057831436391,GradientBoosting,y_weekday
order_cancel,0.0025423212253602627,GradientBoosting,y_weekday
order_time_14,0.002284952820301806,GradientBoosting,y_weekday
order_time_18,0.001294764197999064,GradientBoosting,y_weekday
store_保土ケ谷店,0.0009575827440293551,GradientBoosting,y_weekday
store_大久保店,0.0009014081468761044,GradientBoosting,y_weekday
store_福生店,0.0005998067328693509,GradientBoosting,y_weekday
store_上尾店,0.0005748351572313071,GradientBoosting,y_weekday
store_四街道店,0.0005009361391101459,GradientBoosting,y_weekday
store_栃木店,0.0005008940831792946,GradientBoosting,y_weekday
store_武蔵野店,0.0004954345395869957,GradientBoosting,y_weekday
store_浦和店,0.00044600584857965026,GradientBoosting,y_weekday
store_武蔵村山店,0.0004097333829571465,GradientBoosting,y_weekday
store_幸店,0.00039869342252897913,GradientBoosting,y_weekday
store_太田店,0.00037252469338050823,GradientBoosting,y_weekday
store_八千代店,0.00036399505587966704,GradientBoosting,y_weekday
store_久喜店,0.00036385455689529517,GradientBoosting,y_weekday
store_立川店,0.0003536517990026693,GradientBoosting,y_weekday
store_八王子店,0.0003343089943112789,GradientBoosting,y_weekday
store_神田店,0.000332111326269611,GradientBoosting,y_weekday
store_八潮店,0.00030772135773664906,GradientBoosting,y_weekday
store_高座店,0.0002792561593514648,GradientBoosting,y_weekday
store_入間店,0.0002680211873451241,GradientBoosting,y_weekday
store_足立店,0.0002671969890250909,GradientBoosting,y_weekday
store_国分寺店,0.00014422052803179496,GradientBoosting,y_weekday
store_板橋店,0.00013771396570511418,GradientBoosting,y_weekday
store_東尾久店,0.00012823524975146827,GradientBoosting,y_weekday
store_我孫子店,0.00010762765035166947,GradientBoosting,y_weekday
store_西葛西店,1.460516179063235e-05,GradientBoosting,y_weekday
store_白井店,0.0,GradientBoosting,y_weekday
store_狛江店,0.0,GradientBoosting,y_weekday
store_狭山店,0.0,GradientBoosting,y_weekday
store_王子店,0.0,GradientBoosting,y_weekday
store_町田店,0.0,GradientBoosting,y_weekday
store_秦野店,0.0,GradientBoosting,y_weekday
store_磯子店,0.0,GradientBoosting,y_weekday
store_石神井店,0.0,GradientBoosting,y_weekday
store_相模原店,0.0,GradientBoosting,y_weekday
store_神奈川店,0.0,GradientBoosting,y_weekday
store_目黒店,0.0,GradientBoosting,y_weekday
store_熊谷店,0.0,GradientBoosting,y_weekday
store_流山店,0.0,GradientBoosting,y_weekday
store_瀬谷店,0.0,GradientBoosting,y_weekday
store_港南店,0.0,GradientBoosting,y_weekday
store_栄店,0.0,GradientBoosting,y_weekday
store_桐生店,0.0,GradientBoosting,y_weekday
store_横浜南店,0.0,GradientBoosting,y_weekday
store_横浜緑店,0.0,GradientBoosting,y_weekday
store_横須賀店,0.0,GradientBoosting,y_weekday
store_水戸店,0.0,GradientBoosting,y_weekday
store_江戸川店,0.0,GradientBoosting,y_weekday
store_江東店,0.0,GradientBoosting,y_weekday
store_池尻店,0.0,GradientBoosting,y_weekday
store_池袋店,0.0,GradientBoosting,y_weekday
store_泉店,0.0,GradientBoosting,y_weekday
store_浅草店,0.0,GradientBoosting,y_weekday
store_浦安店,0.0,GradientBoosting,y_weekday
store_海老名店,0.0,GradientBoosting,y_weekday
store_清瀬店,0.0,GradientBoosting,y_weekday
store_渋谷店,0.0,GradientBoosting,y_weekday
store_港北店,0.0,GradientBoosting,y_weekday
store_稲城店,0.0,GradientBoosting,y_weekday
store_葛飾店,0.0,GradientBoosting,y_weekday
store_綾瀬店,0.0,GradientBoosting,y_weekday
store_練馬店,0.0,GradientBoosting,y_weekday
store_足柄上店,0.0,GradientBoosting,y_weekday
store_逗子店,0.0,GradientBoosting,y_weekday
store_那珂店,0.0,GradientBoosting,y_weekday
store_都筑店,0.0,GradientBoosting,y_weekday
store_金沢店,0.0,GradientBoosting,y_weekday
store_銀座店,0.0,GradientBoosting,y_weekday
store_鎌倉店,0.0,GradientBoosting,y_weekday
store_青山店,0.0,GradientBoosting,y_weekday
store_青梅店,0.0,GradientBoosting,y_weekday
store_青葉店,0.0,GradientBoosting,y_weekday
store_館林店,0.0,GradientBoosting,y_weekday
store_駒沢店,0.0,GradientBoosting,y_weekday
store_駒込店,0.0,GradientBoosting,y_weekday
store_高円寺店,0.0,GradientBoosting,y_weekday
store_高島平店,0.0,GradientBoosting,y_weekday
store_高崎店,0.0,GradientBoosting,y_weekday
store_高津店,0.0,GradientBoosting,y_weekday
store_高田馬場店,0.0,GradientBoosting,y_weekday
store_鴻巣店,0.0,GradientBoosting,y_weekday
store_足利店,0.0,GradientBoosting,y_weekday
store_越谷店,0.0,GradientBoosting,y_weekday
store_赤羽店,0.0,GradientBoosting,y_weekday
store_草加店,0.0,GradientBoosting,y_weekday
store_羽村店,0.0,GradientBoosting,y_weekday
store_羽生店,0.0,GradientBoosting,y_weekday
store_習志野店,0.0,GradientBoosting,y_weekday
store_自由が丘店,0.0,GradientBoosting,y_weekday
store_船橋店,0.0,GradientBoosting,y_weekday
store_若葉店,0.0,GradientBoosting,y_weekday
store_茂原店,0.0,GradientBoosting,y_weekday
store_茅ヶ崎店,0.0,GradientBoosting,y_weekday
store_荒川店,0.0,GradientBoosting,y_weekday
store_赤坂店,0.0,GradientBoosting,y_weekday
store_荻窪店,0.0,GradientBoosting,y_weekday
store_蒲田店,0.0,GradientBoosting,y_weekday
store_藤沢店,0.0,GradientBoosting,y_weekday
store_行田店,0.0,GradientBoosting,y_weekday
store_西多摩店,0.0,GradientBoosting,y_weekday
store_西東京店,0.0,GradientBoosting,y_weekday
store_調布店,0.0,GradientBoosting,y_weekday
store_谷中店,0.0,GradientBoosting,y_weekday
store_柏店,0.0,GradientBoosting,y_weekday
store_日本橋店,0.0,GradientBoosting,y_weekday
